Year,Month,Day,DJIAPercentChange
1994,8,3,-0.092197461
1994,8,4,-0.709257257
1994,8,5,-0.499229911
1994,8,8,0.181478516
1994,8,9,0.053279344
1994,8,10,0.292880345
1994,8,11,-0.422108952
1994,8,12,0.474552774
1994,8,15,-0.222888529
1994,8,16,0.646225035
1994,8,17,-0.21402526
1994,8,18,-0.55871839
1994,8,19,-0.007988497
1994,8,22,-0.103858752
1994,8,23,0.655790147
1994,8,24,1.877747762
1994,8,25,-0.436737983
1994,8,26,1.157244507
1994,8,29,0.458632862
1994,8,30,0.47192798
1994,8,31,-0.099558369
1994,9,1,-0.306638728
1994,9,2,-0.404982827
1994,9,6,0.337142269
1994,9,7,-0.318054736
1994,9,8,0.571237424
1994,9,9,-0.69962328
1994,9,12,-0.374212863
1994,9,13,0.50773256
1994,9,14,0.396917446
1994,9,15,1.50437707
1994,9,16,-0.518475429
1994,9,19,0.083896883
1994,9,20,-1.599694812
1994,9,21,-0.452301569
1994,9,22,-0.376466923
1994,9,23,-0.138125147
1994,9,26,0.454094681
1994,9,27,0.358516055
1994,9,28,0.393476573
1994,9,29,-0.60852973
1994,9,30,-0.295750532
1994,10,3,0.096273938
1994,10,4,-1.19056903
1994,10,5,-0.363052801
1994,10,6,-0.308927204
1994,10,7,0.577391673
1994,10,10,0.629377995
1994,10,11,1.24836772
1994,10,12,-0.041271151
1994,10,13,0.304264865
1994,10,14,0.526992288
1994,10,17,0.342667178
1994,10,18,-0.163103035
1994,10,19,0.472239949
1994,10,20,-0.630081301
1994,10,21,-0.508795255
1994,10,24,-0.925140698
1994,10,25,-0.121910098
1994,10,26,-0.062327949
1994,10,27,0.701626735
1994,10,28,1.432184145
1994,10,31,-0.574961203
1994,11,1,-1.143778307
1994,11,2,-0.680747528
1994,11,3,0.229339866
1994,11,4,-0.998465899
1994,11,7,0.036769534
1994,11,8,0.572343721
1994,11,9,0.028715378
1994,11,10,-0.255754476
1994,11,11,-0.536368394
1994,11,14,0.741812442
1994,11,15,-0.086168629
1994,11,16,0.491323437
1994,11,17,-0.444710288
1994,11,18,-0.334369531
1994,11,21,-1.200429848
1994,11,22,-2.427377636
1994,11,23,-0.092441544
1994,11,25,0.87867247
1994,11,28,0.844052531
1994,11,29,-0.026740828
1994,11,30,0.016048788
1994,12,1,-1.024283269
1994,12,2,1.207814315
1994,12,5,-0.098782572
1994,12,6,0.109570005
1994,12,7,-0.280298986
1994,12,8,-1.333154865
1994,12,9,0.146512196
1994,12,12,0.739616916
1994,12,13,-0.083369191
1994,12,14,0.834387533
1994,12,15,0.512505672
1994,12,16,1.107422653
1994,12,19,-0.433389368
1994,12,20,-0.61993827
1994,12,21,0.918454024
1994,12,22,0.344573623
1994,12,23,0.484940628
1994,12,27,0.73824803
1994,12,28,-0.57487635
1994,12,29,-0.158874853
1994,12,30,0.026086503
1995,1,3,0.106926768
1995,1,4,0.500195389
1995,1,5,-0.176270835
1995,1,6,0.428471266
1995,1,9,-0.15514299
1995,1,10,0.137255918
1995,1,11,-0.121550676
1995,1,12,-0.077679959
1995,1,13,1.282715729
1995,1,16,0.608929257
1995,1,17,-0.040688655
1995,1,18,-0.043249294
1995,1,19,-1.191142784
1995,1,20,-0.329709958
1995,1,23,-0.0516876
1995,1,24,-0.121528676
1995,1,25,0.227819919
1995,1,26,-0.02841276
1995,1,27,-0.320380322
1995,1,30,-0.671332297
1995,1,31,0.307925159
1995,2,1,0.096256406
1995,2,2,0.602973282
1995,2,3,1.35183943
1995,2,6,0.231634679
1995,2,7,-0.007618661
1995,2,8,-0.050794941
1995,2,9,-0.06860802
1995,2,10,0.162738068
1995,2,13,0.383336295
1995,2,14,0.103687219
1995,2,15,0.704848041
1995,2,16,0.032612513
1995,2,17,-0.852664577
1995,2,21,0.265587454
1995,2,22,0.229566095
1995,2,23,0.598065084
1995,2,24,0.209826893
1995,2,27,-0.575815739
1995,2,28,0.564107707
1995,3,1,-0.406372317
1995,3,2,-0.37298488
1995,3,3,0.243724717
1995,3,6,0.200521356
1995,3,7,-0.875525315
1995,3,8,0.418916873
1995,3,9,0.105548854
1995,3,10,1.310438319
1995,3,13,-0.257706413
1995,3,14,0.58630627
1995,3,15,-0.256866232
1995,3,16,0.762678288
1995,3,17,0.110586848
1995,3,20,0.245477085
1995,3,21,-0.271812327
1995,3,22,0.255365123
1995,3,23,0.117560617
1995,3,24,1.24516855
1995,3,27,0.449416483
1995,3,28,-0.132297405
1995,3,29,0.216773448
1995,3,30,0.283599308
1995,3,31,-0.357091502
1995,4,3,0.257353825
1995,4,4,0.796468669
1995,4,5,-0.023800457
1995,4,6,0.11426939
1995,4,7,-0.304370571
1995,4,10,0.133568669
1995,4,11,-0.264399028
1995,4,12,0.255546799
1995,4,13,0.247748821
1995,4,17,-0.304168053
1995,4,18,-0.388520761
1995,4,19,0.679572157
1995,4,20,0.551396316
1995,4,21,0.931287967
1995,4,24,0.793892415
1995,4,25,-0.088289963
1995,4,26,-0.009301893
1995,4,27,0.346527745
1995,4,28,0.152965444
1995,5,1,-0.120334159
1995,5,2,0.296564028
1995,5,3,1.023354663
1995,5,4,-0.308698436
1995,5,5,-0.373878937
1995,5,8,0.932449233
1995,5,9,0.157394101
1995,5,10,0.314293523
1995,5,11,0.149843346
1995,5,12,0.439789626
1995,5,15,0.155735115
1995,5,16,-0.054084507
1995,5,17,-0.281842574
1995,5,18,-1.854112965
1995,5,19,0.016126803
1995,5,22,1.250777417
1995,5,23,0.928200928
1995,5,24,0.040573438
1995,5,25,-0.343316619
1995,5,26,-0.979103395
1995,5,30,0.222018769
1995,5,31,1.973188389
1995,6,1,0.172448545
1995,6,2,-0.634949025
1995,6,5,0.724507245
1995,6,6,0.192110084
1995,6,7,-0.517256756
1995,6,8,-0.076199014
1995,6,9,-0.77602835
1995,6,12,0.508589512
1995,6,13,0.854604745
1995,6,14,0.147173598
1995,6,15,0.115784552
1995,6,16,0.322487379
1995,6,19,0.951050811
1995,6,20,-0.068076509
1995,6,21,-0.076912935
1995,6,22,0.934661652
1995,6,23,-0.082795886
1995,6,26,-0.752322386
1995,6,27,-0.191154176
1995,6,28,0.31259631
1995,6,29,-0.136060393
1995,6,30,0.120863183
1995,7,3,0.638704155
1995,7,5,0.654278985
1995,7,6,1.057375628
1995,7,7,0.829759863
1995,7,10,-0.006379314
1995,7,11,-0.463593059
1995,7,12,0.997735333
1995,7,13,0.004230745
1995,7,14,-0.395557906
1995,7,17,0.584012912
1995,7,18,-1.018058929
1995,7,19,-1.224846894
1995,7,20,0.27436324
1995,7,21,0
1995,7,24,0.583850396
1995,7,25,0.981001135
1995,7,26,-0.156962562
1995,7,27,0.545983727
1995,7,28,-0.365534145
1995,7,31,-0.148446612
1995,8,1,-0.172029309
1995,8,2,-0.217002808
1995,8,3,0.238795787
1995,8,4,-0.380737653
1995,8,7,0.209245223
1995,8,8,0
1995,8,9,-0.464491935
1995,8,10,-0.595097934
1995,8,11,-0.546977626
1995,8,14,0.900764351
1995,8,15,-0.40988004
1995,8,16,-0.036631615
1995,8,17,-0.183225195
1995,8,18,-0.280741157
1995,8,21,-0.060637561
1995,8,22,0.121348704
1995,8,23,-0.768331746
1995,8,24,-0.093786124
1995,8,25,0.454088984
1995,8,28,-0.16082062
1995,8,29,0.313452329
1995,8,30,-0.08245812
1995,8,31,0.130304478
1995,9,1,0.800329675
1995,9,5,0.486282948
1995,9,6,0.293355603
1995,9,7,-0.301037619
1995,9,8,0.663854209
1995,9,11,0.089348395
1995,9,12,0.899062679
1995,9,13,0.385490394
1995,9,14,0.761724898
1995,9,15,-0.0874672
1995,9,18,-0.35851259
1995,9,19,-0.280311271
1995,9,20,0.539123138
1995,9,21,-0.52788616
1995,9,22,-0.067122541
1995,9,25,0.119642332
1995,9,26,-0.09014864
1995,9,27,-0.067147893
1995,9,28,0.529144969
1995,9,29,0.031330938
1995,10,2,-0.580484851
1995,10,3,-0.243630941
1995,10,4,-0.189485652
1995,10,5,0.464066488
1995,10,6,0.136477208
1995,10,9,-0.90161872
1995,10,10,-0.114256697
1995,10,11,0.30715133
1995,10,12,0.625092391
1995,10,13,0.6065185
1995,10,16,-0.196086612
1995,10,17,0.242454644
1995,10,18,-0.385738115
1995,10,19,0.523286238
1995,10,20,-0.158250911
1995,10,23,-0.821706396
1995,10,24,0.592997582
1995,10,25,-0.627129628
1995,10,26,-1.049708648
1995,10,27,0.807857477
1995,10,30,0.312117761
1995,10,31,-0.023125762
1995,11,1,0.23551677
1995,11,2,0.879014832
1995,11,3,0.353533253
1995,11,6,-0.240384615
1995,11,7,-0.353136685
1995,11,8,1.161142381
1995,11,9,0.236981474
1995,11,10,0.127461864
1995,11,13,0.051330486
1995,11,14,-0.022573827
1995,11,15,1.046841003
1995,11,16,0.946615747
1995,11,17,0.414536966
1995,11,20,-0.138276553
1995,11,21,0.812747085
1995,11,22,0.358308783
1995,11,24,0.142811806
1995,11,27,0.437727777
1995,11,28,0.14198663
1995,11,29,0.541541128
1995,11,30,-0.609135067
1995,12,1,0.248300325
1995,12,4,1.030056417
1995,12,5,0.739371534
1995,12,6,0.417189763
1995,12,7,-0.763593699
1995,12,8,-0.048455247
1995,12,11,0.53132696
1995,12,12,-0.181316668
1995,12,13,0.803880268
1995,12,14,-0.657528995
1995,12,15,-0.106132531
1995,12,18,-1.63197271
1995,12,19,0.683716898
1995,12,20,-0.990234643
1995,12,21,0.735279584
1995,12,22,0.029431963
1995,12,26,0.241271087
1995,12,27,-0.08610062
1995,12,28,-0.197810376
1995,12,29,0.417991287
1996,1,2,1.180356061
1996,1,3,0.320618059
1996,1,4,-0.390828055
1996,1,5,0.146893966
1996,1,8,0.314586791
1996,1,9,-1.300575254
1996,1,10,-1.894699908
1996,1,11,0.639790181
1996,1,12,-0.078971787
1996,1,15,-0.341822924
1996,1,16,0.880288671
1996,1,17,-0.41861562
1996,1,18,1.13481616
1996,1,19,1.176723129
1996,1,22,0.669276911
1996,1,23,-0.519216768
1996,1,24,0.972594033
1996,1,25,-0.495918212
1996,1,26,1.054286152
1996,1,29,0.629765924
1996,1,30,1.436380773
1996,1,31,0.262023341
1996,2,1,0.181639575
1996,2,2,-0.575382509
1996,2,5,0.625232601
1996,2,6,0.961609587
1996,2,7,0.595281706
